question,answer,hint1,hint2,distractor1,distractor2,distractor3,category,style,difficulty,emoji
My name rhymes with 'cnkle'. I am part of the science family.,ankle,It belongs to the science group.,It starts with 'A'.,wrist,brush,pulley,science,rhyming,easy,🔬
Add 40 and 0 together. What is the total?,40,It is a number.,It is greater than 39.,22,20,4,math,wordplay,easy,🧮
This is a well-known food. My first letter is 'B'.,banana,It belongs to the food group.,It has 6 letters.,kiwi,zucchini,turnip,food,what-am-i,medium,🍎
Think of a common words. It ends with 'W'. What is it?,new,It belongs to the words group.,It starts with 'N'.,hot,gentle,short,words,what-am-i,easy,🔠
This school is known for having 10 letters in its name.,microphone,It belongs to the school group.,It starts with 'M'.,globe,playground,marker,school,trivia,easy,✏️
I sound a little bit like the silly word 'rrojector'. I am a school.,projector,It belongs to the school group.,It has 9 letters.,textbook,test,paper,school,rhyming,medium,✏️
I am the number that comes right after 6. What number am I?,7,It is a number.,It is greater than 6.,43,56,37,math,trivia,easy,🧮
Mix my letters and you get 'humosomr'. I am a food.,mushroom,It belongs to the food group.,It has 8 letters.,pumpkin,cucumber,chip,food,wordplay,medium,🍎
I sound a little bit like the silly word 'freidel'. I am a holidays.,dreidel,It belongs to the holidays group.,It ends with 'L'.,bagpipe,fireworks,accordion,holidays,rhyming,tricky,🎉
People often forget I have 8 letters. I am a space.,towtruck,It belongs to the space group.,It ends with 'K'.,probe,snowplow,timemachine,space,lateral,tricky,🚀
You might see this words around. It has 6 letters in its name. What could it be?,corner,It belongs to the words group.,It starts with 'C'.,soft,jump,proud,words,what-am-i,easy,🔠
Mix my letters and you get 'aedcn'. I am a holidays.,dance,It belongs to the holidays group.,It has 5 letters.,ribbon,turntable,booth,holidays,wordplay,medium,🎉
People often forget I have 11 letters. I am a sports.,hideandseek,It belongs to the sports group.,It has 11 letters.,iceskating,actionfigure,weightlifting,sports,lateral,medium,⚽
"I am a sports with exactly 8 letters. My last letter is very important, it is 'S'.",checkers,It belongs to the sports group.,It ends with 'S'.,soccer,actionfigure,billiards,sports,lateral,tricky,⚽
"If you spell my name backwards, it looks like 'gnuoy'.",young,It belongs to the words group.,It ends with 'G'.,full,prior,high,words,wordplay,tricky,🔠
I sound a little bit like the silly word 'yatermelon'. I am a food.,watermelon,It belongs to the food group.,It starts with 'W'.,peach,croissant,spinach,food,rhyming,easy,🍎
A fun fact about this nature is that its name starts with 'O' and ends with 'N'.,ocean,It belongs to the nature group.,It has 5 letters.,night,iceberg,morning,nature,trivia,medium,🌿
Think of a common silly. It ends with 'R'. What is it?,dryer,It belongs to the silly group.,It has 5 letters.,ironingboard,glove,shorts,silly,what-am-i,medium,🤪
"If you spell my name backwards, it looks like 'nrutas'.",saturn,It belongs to the space group.,It ends with 'N'.,teleporter,sled,ambulance,space,wordplay,tricky,🚀
"Half of 8 is 4, which is how many letters this nature has.",tree,It belongs to the nature group.,It starts with 'T'.,beach,lake,planet,nature,math,easy,🌿
Think of a common holidays. It ends with 'E'. What is it?,flute,It belongs to the holidays group.,It has 5 letters.,chime,fair,treat,holidays,what-am-i,medium,🎉
Take away my first letter and you get something else. Put it back and I am this food.,tomato,It belongs to the food group.,It ends with 'O'.,milk,watermelon,pasta,food,wordplay,tricky,🍎
Subtract 2 from 5 and you get the letter count of this space.,jet,It belongs to the space group.,It ends with 'T'.,pulsar,capricorn,libra,space,math,tricky,🚀
Subtract 2 from 14 and you get the letter count of this sports.,cheerleading,It belongs to the sports group.,It starts with 'C'.,lego,running,workout,sports,math,easy,⚽
"In the sports category, this item is very famous. It starts with 'B'.",baseball,It belongs to the sports group.,It ends with 'L'.,doll,snowboarding,workout,sports,trivia,tricky,⚽
You cannot spell this space without the letter 'V'.,van,It belongs to the space group.,It starts with 'V'.,capricorn,cosmonaut,mercury,space,lateral,easy,🚀
A fun fact about this school is that its name starts with 'R' and ends with 'T'.,report,It belongs to the school group.,It starts with 'R'.,timer,headphones,principal,school,trivia,easy,✏️
"If you try to rhyme with me, you might say 'qctopus'. What animals am I?",octopus,It belongs to the animals group.,It ends with 'S'.,flamingo,squirrel,zebra,animals,rhyming,tricky,🐾
You cannot spell this sports without the letter 'H'.,hammerthrow,It belongs to the sports group.,It starts with 'H'.,marble,helicopter,dominoes,sports,lateral,easy,⚽
You might see this science around. It has 4 letters in its name. What could it be?,neck,It belongs to the science group.,It has 4 letters.,wheel,gas,muscle,science,what-am-i,medium,🔬
People often forget I have 5 letters. I am a words.,great,It belongs to the words group.,It ends with 'T'.,last,far,awful,words,lateral,tricky,🔠
"I am a school with exactly 3 letters. My last letter is very important, it is 'S'.",bus,It belongs to the school group.,It starts with 'B'.,diploma,paper,stamp,school,lateral,easy,✏️
A fun fact about this silly is that its name starts with 'S' and ends with 'E'.,stove,It belongs to the silly group.,It ends with 'E'.,hat,couch,bookcase,silly,trivia,tricky,🤪
I sound a little bit like the silly word 'uparkler'. I am a holidays.,sparkler,It belongs to the holidays group.,It ends with 'R'.,guitar,gift,shamrock,holidays,rhyming,tricky,🎉
"Half of 6 is 3, which is how many letters this nature has.",bog,It belongs to the nature group.,It has 3 letters.,moon,jungle,forest,nature,math,medium,🌿
"I am a sports with exactly 13 letters. My last letter is very important, it is 'G'.",skateboarding,It belongs to the sports group.,It has 13 letters.,medal,wrestling,tetherball,sports,lateral,medium,⚽
You cannot spell this nature without the letter 'R'.,root,It belongs to the nature group.,It has 4 letters.,island,rock,rainbow,nature,lateral,medium,🌿
You might see this science around. It has 3 letters in its name. What could it be?,gas,It belongs to the science group.,It starts with 'G'.,clamp,chest,head,science,what-am-i,easy,🔬
"I am a sports with exactly 4 letters. My last letter is very important, it is 'O'.",lego,It belongs to the sports group.,It starts with 'L'.,tag,swimming,squash,sports,lateral,easy,⚽
You might see this holidays around. It has 4 letters in its name. What could it be?,song,It belongs to the holidays group.,It has 4 letters.,kinara,piano,basket,holidays,what-am-i,medium,🎉
Many kids love this space. It starts with 'A'. Who am I?,aquarius,It belongs to the space group.,It has 8 letters.,venus,stroller,dumptruck,space,what-am-i,medium,🚀
This school is known for having 4 letters in its name.,desk,It belongs to the school group.,It starts with 'D'.,score,assignment,planner,school,trivia,easy,✏️
People often forget I have 5 letters. I am a space.,rover,It belongs to the space group.,It has 5 letters.,policecar,jetpack,pluto,space,lateral,medium,🚀
I am the number that comes right after 66. What number am I?,67,It is a number.,It is greater than 66.,41,70,72,math,trivia,easy,🧮
Many kids love this science. It starts with 'A'. Who am I?,atom,It belongs to the science group.,It starts with 'A'.,dna,tube,ear,science,what-am-i,easy,🔬
You cannot spell this nature without the letter 'S'.,star,It belongs to the nature group.,It ends with 'R'.,universe,mountain,river,nature,lateral,tricky,🌿
"If you try to rhyme with me, you might say 'uoil'. What nature am I?",soil,It belongs to the nature group.,It starts with 'S'.,branch,ocean,prairie,nature,rhyming,easy,🌿
Count the letters in this science's name and you get 3. Double that is 6.,eye,It belongs to the science group.,It ends with 'E'.,elbow,screw,screwdriver,science,math,tricky,🔬
"I am a school with exactly 8 letters. My last letter is very important, it is 'R'.",calendar,It belongs to the school group.,It ends with 'R'.,desk,librarian,coach,school,lateral,tricky,✏️
"Half of 12 is 6, which is how many letters this nature has.",shadow,It belongs to the nature group.,It ends with 'W'.,desert,frost,sky,nature,math,tricky,🌿
Many kids love this silly. It starts with 'D'. Who am I?,dishwasher,It belongs to the silly group.,It has 10 letters.,sock,armchair,remote,silly,what-am-i,medium,🤪
I sound a little bit like the silly word 'rliers'. I am a science.,pliers,It belongs to the science group.,It starts with 'P'.,muscle,plastic,gear,science,rhyming,easy,🔬
Think of a common sports. It ends with 'E'. What is it?,clue,It belongs to the sports group.,It has 4 letters.,taekwondo,lacrosse,rollerblading,sports,what-am-i,medium,⚽
Subtract 2 from 5 and you get the letter count of this animals.,cow,It belongs to the animals group.,It ends with 'W'.,butterfly,bee,pigeon,animals,math,tricky,🐾
Think of a common science. It ends with 'T'. What is it?,foot,It belongs to the science group.,It ends with 'T'.,muscle,glass,machine,science,what-am-i,tricky,🔬
A fun fact about this science is that its name starts with 'T' and ends with 'E'.,testtube,It belongs to the science group.,It has 8 letters.,hammer,wire,mouth,science,trivia,medium,🔬
My name rhymes with 'horest'. I am part of the nature family.,forest,It belongs to the nature group.,It has 6 letters.,sea,afternoon,mud,nature,rhyming,medium,🌿
A fun fact about this science is that its name starts with 'W' and ends with 'T'.,wrist,It belongs to the science group.,It ends with 'T'.,metal,ankle,molecule,science,trivia,tricky,🔬
"Half of 8 is 4, which is how many letters this animals has.",hawk,It belongs to the animals group.,It has 4 letters.,beetle,salamander,cricket,animals,math,medium,🐾
Think of a common silly. It ends with 'R'. What is it?,sweater,It belongs to the silly group.,It starts with 'S'.,toothbrush,oven,pan,silly,what-am-i,easy,🤪
This is a well-known space. My first letter is 'U'.,ufo,It belongs to the space group.,It ends with 'O'.,hovercraft,wheelbarrow,quasar,space,what-am-i,tricky,🚀
This is a well-known words. My first letter is 'W'.,weak,It belongs to the words group.,It has 4 letters.,pretty,cold,poor,words,what-am-i,medium,🔠
Count the letters in this silly's name and you get 6. Double that is 12.,blouse,It belongs to the silly group.,It starts with 'B'.,washcloth,sponge,toothbrush,silly,math,easy,🤪
Many kids love this space. It starts with 'C'. Who am I?,cosmonaut,It belongs to the space group.,It has 9 letters.,subway,mars,tram,space,what-am-i,medium,🚀
Subtract 2 from 10 and you get the letter count of this holidays.,confetti,It belongs to the holidays group.,It has 8 letters.,shamrock,kinara,yam,holidays,math,medium,🎉
This is a well-known silly. My first letter is 'R'.,rug,It belongs to the silly group.,It ends with 'G'.,knife,pot,dress,silly,what-am-i,tricky,🤪
"Half of 10 is 5, which is how many letters this animals has.",camel,It belongs to the animals group.,It starts with 'C'.,spider,guineapig,slug,animals,math,easy,🐾
This is a well-known science. My first letter is 'M'.,machine,It belongs to the science group.,It ends with 'E'.,wrist,wheel,shoulder,science,what-am-i,tricky,🔬
"I am a animals with exactly 5 letters. My last letter is very important, it is 'P'.",sheep,It belongs to the animals group.,It starts with 'S'.,worm,centipede,lion,animals,lateral,easy,🐾
"Half of 8 is 4, which is how many letters this science has.",knee,It belongs to the science group.,It starts with 'K'.,thermometer,testtube,ear,science,math,easy,🔬
"If you have 81 apples and get 1 more, how many do you have?",82,It is a number.,It is greater than 81.,2,72,16,math,lateral,easy,🧮
I am exactly 1 more than 37.,38,It is a number.,It is between 37 and 39.,33,13,51,math,trivia,medium,🧮
I sound a little bit like the silly word 'voothbrush'. I am a silly.,toothbrush,It belongs to the silly group.,It starts with 'T'.,toothpaste,mug,sock,silly,rhyming,easy,🤪
Many kids love this animals. It starts with 'P'. Who am I?,pig,It belongs to the animals group.,It ends with 'G'.,crow,crocodile,flamingo,animals,what-am-i,tricky,🐾
Subtract 2 from 6 and you get the letter count of this space.,tram,It belongs to the space group.,It ends with 'M'.,van,aquarius,sled,space,math,tricky,🚀
Count the letters in this animals's name and you get 4. Double that is 8.,worm,It belongs to the animals group.,It has 4 letters.,hamster,zebra,giraffe,animals,math,medium,🐾
Take away my first letter and you get something else. Put it back and I am this science.,screw,It belongs to the science group.,It ends with 'W'.,spring,wool,pliers,science,wordplay,tricky,🔬
Add 74 and 0 together. What is the total?,74,It is a number.,It is between 73 and 75.,37,60,53,math,rhyming,tricky,🧮
I sound a little bit like the silly word 'ukateboard'. I am a space.,skateboard,It belongs to the space group.,It has 10 letters.,wormhole,cart,excavator,space,rhyming,medium,🚀
Mix my letters and you get 'pulars'. I am a space.,pulsar,It belongs to the space group.,It has 6 letters.,subway,jetpack,capricorn,space,wordplay,medium,🚀
Subtract 2 from 10 and you get the letter count of this space.,forklift,It belongs to the space group.,It has 8 letters.,wormhole,tram,rollerblade,space,math,medium,🚀
Add 13 and 0 together. What is the total?,13,It is a number.,It is between 12 and 14.,54,43,23,math,rhyming,medium,🧮
Take 48 and subtract 5. What do you get?,43,It is a number.,It is between 42 and 44.,3,56,47,math,wordplay,medium,🧮
I sound a little bit like the silly word 'eomb'. I am a silly.,comb,It belongs to the silly group.,It has 4 letters.,microwave,knife,towel,silly,rhyming,medium,🤪
This is a well-known school. My first letter is 'E'.,exam,It belongs to the school group.,It has 4 letters.,encyclopedia,quiz,crayon,school,what-am-i,medium,✏️
"If you try to rhyme with me, you might say 'oud'. What nature am I?",mud,It belongs to the nature group.,It starts with 'M'.,hill,shrub,lightning,nature,rhyming,easy,🌿
Count the letters in this sports's name and you get 9. Double that is 18.,solitaire,It belongs to the sports group.,It has 9 letters.,diving,wrestling,running,sports,math,medium,⚽
You cannot spell this holidays without the letter 'M'.,menorah,It belongs to the holidays group.,It has 7 letters.,drum,kinara,sparkler,holidays,lateral,medium,🎉
Take away my first letter and you get something else. Put it back and I am this words.,high,It belongs to the words group.,It starts with 'H'.,cute,jump,small,words,wordplay,easy,🔠
This is a well-known science. My first letter is 'W'.,wool,It belongs to the science group.,It starts with 'W'.,wedge,ramp,spring,science,what-am-i,easy,🔬
A fun fact about this sports is that its name starts with 'V' and ends with 'L'.,volleyball,It belongs to the sports group.,It starts with 'V'.,weightlifting,hurdle,pentathlon,sports,trivia,easy,⚽
"I am a food with exactly 6 letters. My last letter is very important, it is 'A'.",papaya,It belongs to the food group.,It has 6 letters.,greenbeans,date,hamburger,food,lateral,medium,🍎
You might see this food around. It has 4 letters in its name. What could it be?,date,It belongs to the food group.,It ends with 'E'.,blackberry,zucchini,apricot,food,what-am-i,tricky,🍎
Take away my first letter and you get something else. Put it back and I am this holidays.,trick,It belongs to the holidays group.,It starts with 'T'.,drum,whistle,festival,holidays,wordplay,easy,🎉
"In the animals category, this item is very famous. It starts with 'S'.",seahorse,It belongs to the animals group.,It ends with 'E'.,salamander,sheep,penguin,animals,trivia,tricky,🐾
Subtract 2 from 11 and you get the letter count of this space.,capricorn,It belongs to the space group.,It has 9 letters.,pisces,pluto,cart,space,math,medium,🚀
You cannot spell this words without the letter 'E'.,edge,It belongs to the words group.,It has 4 letters.,wet,weak,low,words,lateral,medium,🔠
Take 10 and subtract 5. What do you get?,5,It is a number.,It is between 4 and 6.,57,62,78,math,lateral,medium,🧮
"Half of 12 is 6, which is how many letters this school has.",marker,It belongs to the school group.,It starts with 'M'.,history,janitor,sticker,school,math,easy,✏️
A fun fact about this sports is that its name starts with 'B' and ends with 'N'.,badminton,It belongs to the sports group.,It starts with 'B'.,actionfigure,discus,triathlon,sports,trivia,easy,⚽
A fun fact about this food is that its name starts with 'P' and ends with 'R'.,pear,It belongs to the food group.,It starts with 'P'.,onion,pancake,coconut,food,trivia,easy,🍎
Mix my letters and you get 'tasfe'. I am a holidays.,feast,It belongs to the holidays group.,It starts with 'F'.,kazoo,maraca,candle,holidays,wordplay,easy,🎉
"If you spell my name backwards, it looks like 'lewot'.",towel,It belongs to the silly group.,It ends with 'L'.,pillow,washcloth,sock,silly,wordplay,tricky,🤪
"In the words category, this item is very famous. It starts with 'B'.",big,It belongs to the words group.,It starts with 'B'.,quiet,down,young,words,trivia,easy,🔠
"Half of 8 is 4, which is how many letters this school has.",ball,It belongs to the school group.,It ends with 'L'.,award,music,test,school,math,tricky,✏️
"Half of 10 is 5, which is how many letters this nature has.",grass,It belongs to the nature group.,It has 5 letters.,hill,hail,eclipse,nature,math,medium,🌿
"In the sports category, this item is very famous. It starts with 'B'.",boxing,It belongs to the sports group.,It has 6 letters.,jumping,iceskating,cricket,sports,trivia,medium,⚽
I sound a little bit like the silly word 'dottom'. I am a words.,bottom,It belongs to the words group.,It has 6 letters.,right,soft,front,words,rhyming,medium,🔠
You might see this animals around. It has 8 letters in its name. What could it be?,tortoise,It belongs to the animals group.,It ends with 'E'.,jellyfish,shrimp,parrot,animals,what-am-i,tricky,🐾
Mix my letters and you get 'peebbl'. I am a nature.,pebble,It belongs to the nature group.,It has 6 letters.,petal,moon,sky,nature,wordplay,medium,🌿
"I am a silly with exactly 7 letters. My last letter is very important, it is 'T'.",cabinet,It belongs to the silly group.,It starts with 'C'.,tv,necklace,ring,silly,lateral,easy,🤪
"In the words category, this item is very famous. It starts with 'E'.",early,It belongs to the words group.,It starts with 'E'.,down,handsome,fast,words,trivia,easy,🔠
You cannot spell this school without the letter 'B'.,book,It belongs to the school group.,It starts with 'B'.,quiz,presentation,desk,school,lateral,easy,✏️
Take 33 and subtract 5. What do you get?,28,It is a number.,It is greater than 27.,50,35,10,math,rhyming,easy,🧮
"I am a science with exactly 5 letters. My last letter is very important, it is 'L'.",drill,It belongs to the science group.,It has 5 letters.,tool,clamp,stomach,science,lateral,medium,🔬
Take away my first letter and you get something else. Put it back and I am this space.,jupiter,It belongs to the space group.,It has 7 letters.,taxi,gemini,yacht,space,wordplay,medium,🚀
"Half of 10 is 5, which is how many letters this food has.",onion,It belongs to the food group.,It starts with 'O'.,hotdog,stew,yogurt,food,math,easy,🍎
"In the science category, this item is very famous. It starts with 'N'.",nose,It belongs to the science group.,It ends with 'E'.,hinge,clamp,plasma,science,trivia,tricky,🔬
This food is known for having 8 letters in its name.,macaroni,It belongs to the food group.,It ends with 'I'.,mango,cherry,onion,food,trivia,tricky,🍎
A fun fact about this school is that its name starts with 'C' and ends with 'R'.,computer,It belongs to the school group.,It starts with 'C'.,projector,student,coach,school,trivia,easy,✏️
"If you spell my name backwards, it looks like 'trac'.",cart,It belongs to the space group.,It has 4 letters.,aries,satellite,capricorn,space,wordplay,medium,🚀
You might see this sports around. It has 7 letters in its name. What could it be?,surfing,It belongs to the sports group.,It starts with 'S'.,kickball,longjump,poker,sports,what-am-i,easy,⚽
Subtract 2 from 10 and you get the letter count of this school.,backpack,It belongs to the school group.,It starts with 'B'.,tape,playground,encyclopedia,school,math,easy,✏️
"If you try to rhyme with me, you might say 'gager'. What words am I?",eager,It belongs to the words group.,It has 5 letters.,high,up,poor,words,rhyming,medium,🔠
Count the letters in this science's name and you get 4. Double that is 8.,gear,It belongs to the science group.,It starts with 'G'.,wheel,head,pipe,science,math,easy,🔬
I am the answer to 2 plus 1.,3,It is a number.,It is between 2 and 4.,38,99,39,math,math,medium,🧮
Take 74 and subtract 5. What do you get?,69,It is a number.,It is between 68 and 70.,46,34,5,math,rhyming,medium,🧮
"Half of 12 is 6, which is how many letters this silly has.",faucet,It belongs to the silly group.,It ends with 'T'.,curtain,glove,plate,silly,math,tricky,🤪
People often forget I have 9 letters. I am a holidays.,xylophone,It belongs to the holidays group.,It starts with 'X'.,kinara,confetti,dance,holidays,lateral,easy,🎉
Subtract 2 from 10 and you get the letter count of this school.,keyboard,It belongs to the school group.,It starts with 'K'.,reading,recess,test,school,math,easy,✏️
Count the letters in this sports's name and you get 8. Double that is 16.,scrabble,It belongs to the sports group.,It has 8 letters.,racquetball,marble,dominoes,sports,math,medium,⚽
I sound a little bit like the silly word 'fawn'. I am a nature.,dawn,It belongs to the nature group.,It has 4 letters.,branch,sleet,ice,nature,rhyming,medium,🌿
You cannot spell this words without the letter 'P'.,poor,It belongs to the words group.,It ends with 'R'.,angry,middle,wet,words,lateral,tricky,🔠
Mix my letters and you get 'ochklealb'. I am a space.,blackhole,It belongs to the space group.,It starts with 'B'.,cosmonaut,van,probe,space,wordplay,easy,🚀
"If you spell my name backwards, it looks like 'torrac'.",carrot,It belongs to the food group.,It starts with 'C'.,raspberry,walnut,cereal,food,wordplay,easy,🍎
Take away my first letter and you get something else. Put it back and I am this space.,excavator,It belongs to the space group.,It ends with 'R'.,virgo,taxi,jet,space,wordplay,tricky,🚀
I sound a little bit like the silly word 'rigeon'. I am a animals.,pigeon,It belongs to the animals group.,It has 6 letters.,caterpillar,mouse,eagle,animals,rhyming,medium,🐾
Think of a common animals. It ends with 'S'. What is it?,bass,It belongs to the animals group.,It starts with 'B'.,crab,lobster,dolphin,animals,what-am-i,easy,🐾
"Half of 10 is 5, which is how many letters this words has.",smart,It belongs to the words group.,It has 5 letters.,angry,far,tiny,words,math,medium,🔠
I sound a little bit like the silly word 'crmchair'. I am a silly.,armchair,It belongs to the silly group.,It has 8 letters.,wardrobe,bowl,socket,silly,rhyming,medium,🤪
Subtract 2 from 6 and you get the letter count of this space.,mars,It belongs to the space group.,It ends with 'S'.,satellite,warp,boat,space,math,tricky,🚀
Take away my first letter and you get something else. Put it back and I am this nature.,autumn,It belongs to the nature group.,It starts with 'A'.,shadow,savanna,hurricane,nature,wordplay,easy,🌿
Count the letters in this animals's name and you get 8. Double that is 16.,mosquito,It belongs to the animals group.,It ends with 'O'.,hamster,penguin,cow,animals,math,tricky,🐾
This words is known for having 6 letters in its name.,smooth,It belongs to the words group.,It has 6 letters.,safe,brave,cute,words,trivia,medium,🔠
This space is known for having 5 letters in its name.,blimp,It belongs to the space group.,It has 5 letters.,weightlessness,bulldozer,timemachine,space,trivia,medium,🚀
"If you have 29 apples and get 1 more, how many do you have?",30,It is a number.,It is greater than 29.,71,49,66,math,lateral,easy,🧮
"Half of 8 is 4, which is how many letters this animals has.",slug,It belongs to the animals group.,It starts with 'S'.,turkey,penguin,bee,animals,math,easy,🐾
This is a well-known science. My first letter is 'S'.,stomach,It belongs to the science group.,It starts with 'S'.,motion,tooth,wire,science,what-am-i,easy,🔬
"I am a school with exactly 5 letters. My last letter is very important, it is 'D'.",board,It belongs to the school group.,It ends with 'D'.,schedule,pen,eraser,school,lateral,tricky,✏️
This is a well-known food. My first letter is 'C'.,cherry,It belongs to the food group.,It has 6 letters.,asparagus,almond,date,food,what-am-i,medium,🍎
"If you spell my name backwards, it looks like 'retnec'.",center,It belongs to the words group.,It starts with 'C'.,open,easy,smart,words,wordplay,easy,🔠
A fun fact about this silly is that its name starts with 'V' and ends with 'M'.,vacuum,It belongs to the silly group.,It starts with 'V'.,shower,bracelet,towel,silly,trivia,easy,🤪
Many kids love this holidays. It starts with 'T'. Who am I?,treat,It belongs to the holidays group.,It has 5 letters.,violin,rose,horn,holidays,what-am-i,medium,🎉
People often forget I have 10 letters. I am a space.,hovercraft,It belongs to the space group.,It starts with 'H'.,supernova,cart,neptune,space,lateral,easy,🚀
Take away my first letter and you get something else. Put it back and I am this school.,camera,It belongs to the school group.,It starts with 'C'.,chalkboard,playground,hallway,school,wordplay,easy,✏️
Mix my letters and you get 'uetnpen'. I am a space.,neptune,It belongs to the space group.,It has 7 letters.,gemini,excavator,astronaut,space,wordplay,medium,🚀
"If you add 90 and take away 10, you are left with me.",80,It is a number.,It is between 79 and 81.,52,69,59,math,math,tricky,🧮
Mix my letters and you get 'gliedr'. I am a space.,glider,It belongs to the space group.,It ends with 'R'.,teleporter,sagittarius,cancer,space,wordplay,tricky,🚀
Subtract 2 from 7 and you get the letter count of this holidays.,bunny,It belongs to the holidays group.,It starts with 'B'.,confetti,stocking,horn,holidays,math,easy,🎉
A fun fact about this nature is that its name starts with 'W' and ends with 'L'.,waterfall,It belongs to the nature group.,It starts with 'W'.,cave,reef,lightning,nature,trivia,easy,🌿
My name rhymes with 'uhoulder'. I am part of the science family.,shoulder,It belongs to the science group.,It ends with 'R'.,tooth,magnet,drill,science,rhyming,tricky,🔬
"If you count up to 93, you will say my name just before 92.",91,It is a number.,It is greater than 90.,50,7,3,math,what-am-i,easy,🧮
"Half of 6 is 3, which is how many letters this words has.",bad,It belongs to the words group.,It ends with 'D'.,hot,top,warm,words,math,tricky,🔠
People often forget I have 6 letters. I am a animals.,turkey,It belongs to the animals group.,It starts with 'T'.,sheep,bear,salmon,animals,lateral,easy,🐾
Think of a common science. It ends with 'E'. What is it?,temperature,It belongs to the science group.,It starts with 'T'.,scale,spring,hinge,science,what-am-i,easy,🔬
"I am a silly with exactly 8 letters. My last letter is very important, it is 'T'.",bracelet,It belongs to the silly group.,It starts with 'B'.,pot,cap,tv,silly,lateral,easy,🤪
I am exactly 1 more than 5.,6,It is a number.,It is greater than 5.,83,88,97,math,what-am-i,easy,🧮
You cannot spell this words without the letter 'C'.,cold,It belongs to the words group.,It has 4 letters.,easy,tiny,cool,words,lateral,medium,🔠
Think of a common science. It ends with 'R'. What is it?,liver,It belongs to the science group.,It has 5 letters.,gear,solid,arm,science,what-am-i,medium,🔬
You might see this nature around. It has 6 letters in its name. What could it be?,valley,It belongs to the nature group.,It ends with 'Y'.,boulder,sand,hail,nature,what-am-i,tricky,🌿
Subtract 2 from 8 and you get the letter count of this animals.,turtle,It belongs to the animals group.,It ends with 'E'.,bass,octopus,newt,animals,math,tricky,🐾
This food is known for having 5 letters in its name.,toast,It belongs to the food group.,It starts with 'T'.,tomato,banana,cauliflower,food,trivia,easy,🍎
"I am a words with exactly 4 letters. My last letter is very important, it is 'P'.",jump,It belongs to the words group.,It starts with 'J'.,last,complex,down,words,lateral,easy,🔠
"If you spell my name backwards, it looks like 'drah'.",hard,It belongs to the words group.,It starts with 'H'.,full,good,open,words,wordplay,easy,🔠
This is a well-known school. My first letter is 'B'.,binder,It belongs to the school group.,It has 6 letters.,diploma,headphones,schedule,school,what-am-i,medium,✏️
"If you try to rhyme with me, you might say 'qrange'. What food am I?",orange,It belongs to the food group.,It starts with 'O'.,cookie,cupcake,pizza,food,rhyming,easy,🍎
This is a well-known sports. My first letter is 'R'.,rollerblading,It belongs to the sports group.,It ends with 'G'.,backgammon,pool,football,sports,what-am-i,tricky,⚽
My name rhymes with 'uhark'. I am part of the animals family.,shark,It belongs to the animals group.,It has 5 letters.,spider,sheep,goat,animals,rhyming,medium,🐾
People often forget I have 5 letters. I am a nature.,sleet,It belongs to the nature group.,It has 5 letters.,bog,fall,cliff,nature,lateral,medium,🌿
"I am a nature with exactly 8 letters. My last letter is very important, it is 'D'.",asteroid,It belongs to the nature group.,It has 8 letters.,grass,root,beach,nature,lateral,medium,🌿
Subtract 2 from 6 and you get the letter count of this words.,fast,It belongs to the words group.,It starts with 'F'.,run,happy,gentle,words,math,easy,🔠
"In the food category, this item is very famous. It starts with 'R'.",raspberry,It belongs to the food group.,It starts with 'R'.,celery,popcorn,sandwich,food,trivia,easy,🍎
You cannot spell this animals without the letter 'P'.,penguin,It belongs to the animals group.,It has 7 letters.,goose,lizard,dragonfly,animals,lateral,medium,🐾
My name rhymes with 'eatfish'. I am part of the animals family.,catfish,It belongs to the animals group.,It starts with 'C'.,hamster,beaver,squid,animals,rhyming,easy,🐾
People often forget I have 7 letters. I am a school.,sandbox,It belongs to the school group.,It starts with 'S'.,report,graduation,librarian,school,lateral,easy,✏️
People often forget I have 6 letters. I am a animals.,beetle,It belongs to the animals group.,It has 6 letters.,seal,jellyfish,goose,animals,lateral,medium,🐾
Count the letters in this holidays's name and you get 6. Double that is 12.,candle,It belongs to the holidays group.,It ends with 'E'.,bassoon,banjo,bunny,holidays,math,tricky,🎉
I am the answer to 67 plus 1.,68,It is a number.,It is greater than 67.,96,37,87,math,math,easy,🧮
Take away my first letter and you get something else. Put it back and I am this words.,proud,It belongs to the words group.,It starts with 'P'.,empty,down,first,words,wordplay,easy,🔠
Take away my first letter and you get something else. Put it back and I am this animals.,dragonfly,It belongs to the animals group.,It has 9 letters.,millipede,swan,newt,animals,wordplay,medium,🐾
"If you try to rhyme with me, you might say 'fark'. What nature am I?",dark,It belongs to the nature group.,It ends with 'K'.,leaf,waterfall,hurricane,nature,rhyming,tricky,🌿
You cannot spell this holidays without the letter 'M'.,mummy,It belongs to the holidays group.,It ends with 'Y'.,viola,song,witch,holidays,lateral,tricky,🎉
"In the holidays category, this item is very famous. It starts with 'B'.",balloon,It belongs to the holidays group.,It has 7 letters.,treat,bunny,sparkler,holidays,trivia,medium,🎉
Count the letters in this sports's name and you get 7. Double that is 14.,jumping,It belongs to the sports group.,It has 7 letters.,workout,wrestling,trophy,sports,math,medium,⚽
"Half of 8 is 4, which is how many letters this silly has.",shoe,It belongs to the silly group.,It has 4 letters.,cup,washcloth,pillow,silly,math,medium,🤪
